question_clean	options_formatted	correct_letter
A 25 years old school teacher Para 1 wants to use oral contraceptive pills for contraception. She is asking about the mode of action of oral contraceptive pills. The mechanism of action of oral contraceptive pills is:	A. Inhibiting ovulation by suppression of serum FSH. | B. Inducing endometrial atrophy. | C. Increasing cervical mucous hostility. | D. Inducing endometritis. | E. Inhibiting prolactin.	A
A young girl, 23 years old is presented with complaint of abdominal pain, menorrhagia and 18 weeks size mass arising from hypogastrium. The most likely diagnosis is:	A. Endometriosis. | B. Pelvic inflammatory disease. | C. Ovarian cyst. | D. Fibroid uterus. | E. Mesenteric cyst.	D
A 63 years old lady presents with abdominal mass and weight loss, was diagnosed as having an ovarian tumour. The most common ovarian tumour in this woman would be:	A. Epithelial tumour. | B. Germ cell tumour. | C. Stromal tumour. | D. Sex cord tumour. | E. Trophoblastic tumour	A
23 years old primigravida presents with abdominal pain, syncope and vaginal spotting. Assessment reveals that she has an ectopic pregnancy. The most common site of pregnancy is: .	A. Ampulla | B. Isthmus. | C. Fimbrial end. | D. Abdomin. | E. Cervix.	A
A couple presented in OPD with H/0 infertility since last 2 years. Husbands’ semen analysis was advised. What is WHO criterion for minimum sperm counts in normal semen?	A. 10 million. | B. 20 million. | C. 30 million. | D. 40 million. | E. 70 million.	B
Which of the following is NOT one of the criteria needed for lactational amenorrhea (LAM) to be used as a contraceptive option?	A. Menstrual period not returned after delivery. | B. Exclusive breastfeeding on demand, day and night. | C. Baby less than 6 months old. | D. Lactational amenorrhea up to 1 year. | E. No supplementary feeding.	D
About human chorionic gonadotropin (h CG), choose the correct statement	A. Detectable rise in maternal serum and urine 6 hours after ovulatiton. | B. Is responsible for programmed corpus luteum demise. | C. Concentration in serum double every 2 to 3 weeks in early pregnancy. | D. Has structural similarities to Luteinizing Hormone. | E. Is not useful in assisted reproductive techniques	D
Which Leopold’s maneuver involves fundal palpation to define which fetal pole occupies the fundus	A. First | B. Second | C. Third | D. Fourth | E. Fifth	A
The uterus and fallopian tube arise embryologically from which of the following	A. Mullerian ducts | B. Wolffian ducts | C. Urogenital sinus | D. Mesonephric ducts | E. Mullerian sinus	A
Engagement occurs when the biparietal diameter of the fetal head descends below the level of which of the following?	A. Mid pelvis | B. Pelvic inlet | C. Pelvic floor | D. Ischial tuberosities | E. Pelvic outlet	B
As regards fertilization and capacitation, which statement is false	A. Capacitation lasts about 7 hours | B. A glycoprotein coat is removed from the surface of the sperm’s acrosome | C. Capacitation occurs in the cervix | D. Capacitated sperms are more active | E. The acrosomal reaction cannot occur until capacitation has occurred	C
You have attempted to perform a direct entry for your laparoscopy and opted to undertake a Palmer's point entry. When would you find Palmer’s point?	A. 1cm below the left costal margin in the mid-clavicular line | B. 1cm below the right costal margin in the mid-clavicular line | C. 3cm below the left costal margin in the mid-axilla | D. 3cm below the left costal margin in the mid-clavicular line | E. 3cm inferior to the right intercostal margin	A
What is the most common complication of the bottom up single-incision retropubic tape procedure?	A. Bladder perforation | B. De novo urinary urgency | C. Retention | D. Tape erosion | E. Voiding dysfunction	B
A 19-year-old woman is to undergo a laparoscopy for pelvic pain. How would you describe the correct technique or entry with the veress needle?	A. Enter below the umbilicus horizontally and then pass the needle at 45° to the skin | B. Enter below the umbilicus transverse plane and then pass the needle at 45° to the skin | C. Enter below the umbilicus vertical to the skin | D. Enter at the base of the umbilicus and pass the needle at 60° to the skin | E. Enter the base of the umbilicus vertical to the skin	B
What is the most frequently encountered complication of suction evacuation of the uterus for first trimester miscarriage	A. Haemorrhage | B. Pelvic infection | C. Perforation | D. Retained products of conception | E. Significant Cervical Injury	D
With respect to instrumentation of the uterus, which operation has the highest risk of perforation?	A. Division of intrauterine adhesions | B. Outpatient hysteroscopy | C. Postpartum suction evacuation for haemorrhage | D. Second generation endometrial ablation | E. Surgical termination of pregnancy	E
A 32-year-old is due to undergo a laparoscopic operation for investigation and management of an ovarian cyst detected on scan. What is the expected serious complication rate following a laparoscopy?	A. 1:500 | B. 1:1000 | C. 1:2500 | D. 1:5000 | E. 1:10,000	B
A 43-year-old lady with a history of heavy menstrual bleeding and a scan suggesting a polyp is due to undergo an outpatient hysteroscopy. Which distension medium is routinely recommended due to its improved quality of image and speed of the procedure?	A. Carbon dioxide | B. Gelofusin | C. Normal saline 0.9% | D. Purosol | E. 5% glucose	C
A 62-year-old is due to undergo a hysteroscopy due to a thickened endometrium detected as part of her investigations for postmenopausal bleeding.   Which medication should be used to 'prime' the cervix prior to the hysteroscopy?	A. Mifepristone | B. Misoprostol | C. No medication required | D. Non-steroidal anti-inflammatory | E. Vaginal oestrogen	B
A healthy 54-year-old lady is due to attend the outpatient postmenopausal bleeding hysteroscopy clinic. Which medication should she be advised to consider taking prior to her attendance at the clinic?	A. Benzodiazepine | B. Non-steroidal anti-inflammatory agents (NSAIDs) | C. Opioids | D. Paracetamol | E. Prostaglandins	B
A patient is seen in room 16 at JOOTRH with a result indicating that she has carcinoma in situ. The following statements are correct EXCEPT?	A. The patient may undergo Loop electrosurgical excision procedure | B. The patient may undergo cone biopsy | C. The patient may undergo simple hysterectomy | D. The patient may undergo radiotherapy | E. The patient may undergo cryotherapy	D
Consent is being obtain from a 24-year-old for a diagnostic laparoscopy and it is correctly documented that there is risk of laparotomy if any injury to bowel, bladder or blood vessels were to occur during the procedure. The patient wishes to know what proportion of cases would be converted to a laparotomy my should an injury occur?	A. 17% | B. 31% | C. 48% | D. 67% | E. 92%	A
A 19-year-old is undergoing a laparoscopy for pelvic pain. What is the estimated risk of death due to a patient undergoing a laparoscopy?	A. 1 in 100 | B. 1 in 1000 | C. 1 in 10,000 | D. 1 in 100,000 | E. 1 in 1,000,000	C
When comparing robotic-assisted surgery to conventional laparoscopic surgery for gynaecological procedures, what would be the major drawback?	A. Intraoperative complication rate | B. Length of hospital stay | C. Operative time | D. Postoperative complication rate | E. Safety and effectiveness in gynaecological cancer	C
Theoretically, what kind of injury related to laparoscopic entry should be reduced by the Hasson (open) technique, compared to a Veress needle entry?	A. Bladder injury | B. Bowel injury | C. Major vessel injury | D. Splenic injury | E. Ureteric injury	B
During laparoscopic pelvic surgery, which visceral structure is most likely to be damaged?	A. Aorta | B. Bladder | C. Ileum | D. Rectum | E. Ureter	B
Which type of ureteric injury is most commonly reported at laparoscopy?	A. Crush | B. Laceration | C. Ligation | D. Thermal | E. Transection	D
Following a difficult hysterectomy, a 65-year-old woman has returned to the gynaecology ward. She had large amounts of morphine in the recovery area for pain relief and is also connected to a patient-controlled analgesia device. The nurses note that she is drowsy and her respiratory rate is low. The anaesthetist   decides to perform arterial blood gas sampling. What disturbance of acid-base balance is this most likely to show?	A. Metabolic acidosis | B. Metabolic alkalosis | C. No disturbance | D. Respiratory acidosis | E. Respiratory alkalosis	D
Oral fluids and food are often delayed following major gynaecological surgery. Which gastrointestinal complication is improved by early postoperative feeding?	A. Abdominal distension | B. Incidence of diarrhoea | C. Need for nasogastric tube placement | D. Recovery of bowel function | E. Rectal bleeding	D
A patient has a ventouse delivery. Two days later she reports general malaise, fever and feeling unwell. With sepsis, which is the first clinical sign to deteriorate, which can be detected through the use of early warning scores?	A. Altered consciousness | B. Hypotension | C. Hypoxia | D. Tachycardia | E. Tachypnoea	D
A patient undergoes a challenging hysterectomy. A drain is left in the pelvis. You are called to review the patient eight hours later as the nurses have noted a high serous drain output and poor urinary output. What finding would identify if the drain fluid is urine (suggestive of a bladder/ureteric injury) or normal peritoneal fluid?	A. Peritoneal creatinine urine nitrogen | B. Peritoneal urea > urine urea | C. Serum creatinine à peritoneal creatinine | D. Serum nitrogen > drain fluid nitrogen levels | E. Urine nitrogen > peritoneal nitrogen	A
A woman had an emergency caesarean section for a pathological CTG and pyrexiain labour She was discharged on postoperative day 4 but re-admitted on day   6 with pyrexia, tachypnoea, tachycardia and hypotension. Haemoglobin is 105 g/l. Septic shock is the main differential diagnosis. Following the Sepsis 6 bundle, along with antibiotics and blood cultures, which other important blood test needs to be taken?	A. C-Reactive protein | B. Fibrinogen | C. Lactate | D. Urea and electrolytes | E. White Cell Count	C
What is the preferred distension medium for outpatient diagnostic hysteroscopy?	A. Carbon dioxide | B. Dextran | C. Glycine | D. Icodextrin | E. Normal saline	E
A 45-year-old asthmatic patient attends the gynaecology clinic with heavy menstrual bleeding and an ultrasound scan suggests the presence of an endometrial polyp. The patient is booked for an outpatient hysteroscopy. What analgesia should be prescribed at least 1 hour before the procedure?	A. Buprenorphine | B. Diclofenac | C. Ibuprofen | D. Paracetamol | E. Tramadol	C
A 45-year-old woman is undergoing an abdominal hysterectomy for a history of heavy menstrual bleeding that has not responded to medical treatment. The patient has a past history of pelvic pain and the operation notes from a previous laparoscopy comment that the patient had 'pelvic adhesions' What is the most appropriate action in terms of protecting the ureter?	A. Identify the ureter tracing it from the pelvic brim and mobilise the ureter by incising the peritoneum and sweeping the tissues laterally | B. Mobilise the entire ureter with the aid of electrosurgery to reduce the blood loss | C. Perform a preoperative MRI | D. Perform a preoperative MRI and Intravenous urogram to assess the ureters | E. Perform preoperative ureteric stenting	A
Following delivery, a woman is found to have a third-degree tear and a trainee wishes to do the repair under supervision. Which two suture materials have equivalent efficacy when repairing the external anal sphincter?	A. Polydiaxanone (PDS) and chromic catgut | B. Polydiaxanone (PDS) and nylon (Prolene) | C. Polydiaxanone (PDS) and Polyglactin (Vicryl) | D. Polyglactin (Vicryl) and chromic catgut | E. Polyglactin (Vicryl) and nylon (Prolene)	C
Your hospital has recently had an increase in postoperative infections. As a result, you are formulating a new guideline that includes information on skin preparation and hair removal prior to surgery. What is the most appropriate method of hair removal prior to surgery?	A. Electric clippers | B. Shaving | C. Electrolysis | D. Laser | E. Waxing	B
On deciding where to place your secondary lateral ports at laparoscopy, care should be taken to avoid the inferior epigastric vessels. Where can these be found?	A. 2cm from the midline | B. Lateral to the lateral umbilical ligaments | C. Lateral to the medial umbilical ligaments | D. Medial to the lateral umbilical ligaments | E. Medial to the medial umbilical ligaments	C
Women requesting caesarean section on maternal request might have posttraumatic stress disorder (PTSD) after previous childbirth. What is the incidence of PTSD after childbirth?	A. 0-1% | B. 6-7% | C. 12-13% | D. 24-25% | E. 36-37%	C
A primigravida at 24 weeks gestation has come to the antenatal clinic with a fear of childbirth and is asking for elective caesarean section as a mode of delivery.   What would be the recommended management?	A. Adequate exploration of the fears with counselling by trained personnel | B. Discharging the patient to midwife care with advice for vaginal delivery | C. Enlisting the patient for elective caesarean section | D. Referral to another obstetrician for second opinion | E. Referral to the supervisor of midwife	A
The following cancers are correctly matched with their respective tumour marker except which one?	A. Inhibin B-Granulosa cell tumour | B. CA 19-9 - Epithelial ovarian cancer | C. Alphafetoprotein (AFP) - Endodermal sinus tumour of the ovary | D. Destradiol - Grahulosa cell tumour | E. CA 15.3- Breast cancer	B
Which one of the following is true regarding tamoxifen?	A. It acts as an oestrogen agonist on breast tissue. | B. It acts as an oestrogen antagonist on endometrium. | C. It can be used for ovulation induction | D. It is not associated with endometrial hyperplasia. | E. It is not associated with endometrial cancer.	C
Which one of the following statements about vulval intraepithelial neoplasia (VIN) is true?	A. The incidence of VIN is decreasing in younger women. | B. VIN can be associated with uterine cancer. | C. VIN can progress to vulval cancer. | D. VIN is always secondary to HPV infection. | E. VIN is always a multifocal disease.	C
Which one of the following statements with regard to CIN is true?	A. CIN 1 progression to invasive cancer is quicker than CIN 2 and CIN 3. | B. CIN 1 always needs treatment when detected on colposcopy. | C. CIN 1 will need treatment If persistent for long time. | D. CIN 2 and 3 can be left for 2 years before treatment. | E. Almost 90% of low-grade cytological abnormalities that are not treated at a first visit will revert to normal cytology and colposcopy.	E
With regard to CIN and cervical cancer, which one of the following statements is correct?	A. The incidence of cervical cancer is increasing in the UK. | B. The mortality rate due to cervical cancer is increasing in the UK. | C. The incidence of inadequate smears is around 50%. | D. The sensitivity of cervical cytology is 100%. | E. Despite a good screening programme, a negative smear does not provide 100% protection against cervical cancer.	E
With regard to Turner syndrome the following statements are true except which one?	A. It may present with menorrhagia. | B. It is associated with gonadal dysgenesis. | C. It has karyotype 45X0. | D. It is associated with coarctation of aorta. | E. It is possible to conceive and have children	A
With respect to the management of female urinary incontinence, which one of the following statements is incorrect?	A. For women with stress incontinence, supervised pelvic floor muscle training for at least 3 months duration is the recommended first-line treatment. | B. Pelvic floor muscle training should consist of at least 8 contractions performed three times a day. | C. The recommended first-line treatment for women with urge incontinence is bladder training for at least 6 weeks. | D. Pelvic floor muscle training in combination with electrical stimulation is more effective and should be routinely offered to women with overactive bladder. | E. Bladder diaries should be used in the initial assessment of women with urinary incontinence.	B
Which one of the following statements is false with regard to the human papilloma virus (HPV)?	A. HPV type 6 and type 11 are the commonest cause of anogenital warts. | B. HPV type 16 and type 18 are oncogenic. | C. HPV 16 and 18 are associated with up to 75% of cervical cancers. | D. Gardasil vaccine protects against types 6, 11, 16, and 18. | E. Cervarix vaccine protects against genital warts.	E
With regard to neonatal HSV infection, which one of the following is false?	A. Is a common condition in the UK. | B. It can present with disseminated herpes in the neonate. | C. Infant mortality is decreased with treatment in localized disease of skin, eyes and mouth infection | D. Disseminated herpes in the neonate is associated with very high mortality if untreated | E. If treated, disseminated herpes is associated with 30% neonatal mortality.	A
Which one of the following is true regarding neonatal herpes infection?	A. It is associated with less morbidity and mortality. | B. It can be caused by cytomegalovirus. | C. It can be caused either by HSV type 1 or type 2 virus. | D. Most of these infections are due to asymptomatic recurrent herpes virus infection in the mother. | E. It can be caused by hepatitis B virus.	C
With respect to puerperal psychosis, which one of the following is true?	A. Unlikely to recur in subsequent pregnancies | B. Characteristically present with manic disorder | C. Occurs in about 1 in 2000 pregnancies | D. Usually occurs about 4 weeks after delivery | E. Puerperal psychosis in a first-degree relative is a risk factor	E
Which one of the following is incorrect with respect to puerperal pyrexia?	A. Endometritis is a common cause. | B. Puerperal pyrexia refers to a temperature of 38°C within the first 6 weeks after delivery | C. Prolonged rupture of membranes is associated with puerperal pyrexia. | D. Anaemia is a predisposing factor. | E. Mastitis can cause puerperal pyrexia.	B
With respect to the fetal circulation, which one of the following is true?	A. Umbilical cord contains two veins and one artery. | B. Umbilical vein carries oxygenated blood from the fetus. | C. Umbilical artery carries deoxygenated blood from the fetus. | D. Umbilical vein carries deoxygenated blood to the fetus. | E. Umbilical artery carries oxygenated blood to the fetus.	C
Neonatal complications of insulin-dependent diabetic mothers include the following except which one?	A. Hypothermia | B. Hyperglycaemia | C. Hypocalcaemia | D. Hypomagnesaemia | E. Respiratory distress syndrome	B
With respect to postpartum haemorrhage (PPH), which one of the following is the correct Statement?	A. The most common cause is retained placenta. | B. Primary PPH is when >500 ml of blood loss from the genital tract occurs  >48 hours after delivery | C. Endometritis is a common cause of primary PPH | D. Routine use of oxytocin in the second stage reduces the risk of postpartum haemorrhage. | E. Prophylactic oxytocics should be offered routinely to all women in the third stage of labour to reduce the risk of postpartum haemorrhage.	E
Which of the following statements regarding bladder care is false?	A. Pregnant women should be encouraged to empty their bladder every 2-4 hours during labour to minimize the risk of retention of urine empty the bladder. | B. If the woman is unable to pass urine after 4 hours, an in-and-out catheter should be used to catheter. | C. If repeat catheterization is required during labour, then one should consider inserting a Foley | D. If the woman has difficulties in emptying her bladder during or after labour, or requires a catheter, this is an indication for transfer from home to hospital for assessment. | E. Women should be taught self-catheterization during pregnancy in anticipation of voiding difficulty in labour	E
A 30-year-old woman presents to the labour ward with uterine contractions at 37 weeks gestation. Her BP is 150/100 and quantitative analysis of urine shows 2 plusses of protein. Her bloods test results are otherwise normal. Which one of the statements below is false with regard to her management?	A. Hourly monitoring of BP | B. Intravenous access during labour and delivery | C. Start oral antihypertensive medication to stabilize BP | D. Epidural analgesia contraindicated | E. Oxytocin can be used for labour augmentation in cases of poor progress of labour	D
A 38-year-old woman presents to the maternity day assessment unit with a history of swollen feet, headache and blurring of vision at 30 weeks' gestation. Her BP is 160/100, pulse rate 88 bpm, oxygen saturation (Sp O 2) 99% on air and normal temperature. Uterine height measures 26 cm. Qualitative analysis of urine reveals 3 plusses of protein. What would be the diagnosis in this clinical context?	A. Migraine | B. Diabetic nephropathy | C. Glomerulonephritis | D. Unexplained proteinuria | E. Severe pre-eclampsia	E
Which one of the following statements regarding analgesia in labour is true?	A. Intermittent auscultation of the fetal heart rate is acceptable for women using epidural analgesia. | B. Epidural analgesia can cause transient hypotension. | C. Oxytocin should be routinely used in the second stage of labour for women with epidural analgesia. | D. Epidural analgesia is less effective than opioids. | E. Epidural analgesia causes long-term backache.	B
Which one of the following is true with regard to obstetric cholestasis?	A. Associated with long-term sequelae for mother and baby | B. Associated with stillbirth | C. Characterized by intense pruritus and skin rash | D. Associated abnormal liver function tests persist after birth | E. Typically presents in second trimester	B
A 35-year-old nulliparous woman at 36 weeks' gestation was diagnosed with pre eclampsis She complains of headaches and visual disturbances. Her blood pressure is 150/100 mmHg and Hb 10 g/dl, platelets 90, ALT 88. She is at risk of the following complications except which one?	A. Cerebral haemorrhage | B. Placenta praevia | C. Pulmonary oedema | D. Eclampsia | E. Disseminated intravascular coagulation	B
With respect to the management of gestational hypertension in a G 2 para 1 woman with a blood of 145/96 mmHg and no proteinuria at 35 weeks' gestation, which one of the following is the correct next step of management?	A. Admission to hospital | B. Weekly BP monitoring | C. Oral labetalol | D. Weekly blood tests | E. Induction of labour at 37 weeks' gestation	C
Reduced fetal movement is associated with the following risk factors except:	A. Fetal growth restriction | B. Placental insufficiency | C. Fetal neuromuscular conditions | D. Breech presentation | E. Small for gestational age	D
With respect to fetal monitoring in labour, which one of the following statements is true?	A. Cardiotocography (CTG) is the recommended method of fetal monitoring in all labouring women | B. Fetal blood sampling is indicated when the CTG is suspicious. | C. Normal baseline fetal heart at term is 110-160 bpm. | D. Absence of accelerations in an otherwise normal CTG is a non-reassuring feature. | E. Normal pH of fetus is 7.20.	C
A 28-year-old 62 para 1 at 28 weeks' gestation attends the antenatal clinic to discuss vaginal birth after caesarean section (VBAC). She had a previous emergency caesarean section 3 years ago for undiagnosed breech in labour. Which one of the following is true concerning VBAC?	A. Intermittent monitoring during labour is recommended. | B. Risk of uterine rupture is 2%. | C. It is contraindicated in women with previous classical caesarean section. | D. The chances of successful vaginal birth is around 50%. | E. The risk of uterine rupture is 10 times higher if the labour is induced or augmented	C
With respect to the second stage of labour, which one of the following statements is true?	A. Cervical dilatation happens at 1 cm per hour. | B. Oxytocin should be used routinely in the second stage of labour in women with epidural. | C. A delayed second stage of labour is when the active second stage has lasted more than 2 hours in nulliparous and more than 1 hour in multiparous women. | D. Fetal heart should be auscultated at least every 15 minutes. | E. It ends with delivery of the fetal head.	D
A 30-year-old woman comes to her GP for advice. She is a known epileptic and is currently on antiepileptic medication. She is planning to conceive in the next couple of months and would like to know the risks to her and the fetus if she gets pregnant. All of the following, are true except which one?	A. Miscarriage rate is increased. | B. Seizure frequency can be increased by 10-30% during pregnancy | C. The risk of aspiration during seizure and sudden unexpected death (SUDEP) may be increased | D. The risk of congenital malformations in the foetus is increased by 2-3-fold. | E. All antiepileptic medications have the same teratogenic effects to the foetus.	E
A 29-year-old Caucasian woman presented to her GP at 37 weeks' gestation with a chickenpox rash during winter season. She was prescribed oral acyclovir for 7 days but was warned to report back if unwell. Three days later she presents to the emergency department with severe shortness of breath. What is the likely diagnosis in her case?	A. Community-acquired pneumonia | B. Varicella zoster pneumonia | C. Exacerbation of her past tuberculosis | D. Drug-induced adult respiratory distress syndrome | E. Bronchitis due to allergy to pollen	B
A 29-year-old woman presents to her GP at 27 weeks' gestation with a rash on her trunk. She had developed this rash 10 hours previously and thought that she had developed a food allergy. On questioning she gives a history of coming in close contact, 3 days earlier, with her niece, who had developed chickenpox rash. General examination reveals rash typical of varicella or chickenpox. She is otherwise well. What is her next initial management following diagnosis of chickenpox	A. Intravenous acyclovir | B. Oral gancyclovir for 7 days | C. Oral acyclovir for 7 days | D. Elective caesarean section at 39 weeks' gestation | E. Ultrasound scan for structural abnormalities in 5 weeks’ time	C
A 28-year-old Asian woman presents to her GP as she had come in close contact, 3 days previously, with her nephew, who had chickenpox. She is currently 32 weeks' pregnant and feels feverish. Examination does not reveal any rash on the body. The GP prescribes her paracetamol and warns her not to come in contact with other pregnant women. Her booking bloods are negative for varicella IgG antibodies. What should be her next step of management?	A. Oral acyclovir | B. Intravenous acyclovir | C. Intravenous varicella Immunoglobulin (IVIG) | D. Emergency caesarean section | E. Oral vanciclovir	C
A 32-year-old woman presented with painful vulva at 36 weeks' gestation. Clinical examination revealed multiple painful vesicles suggestive of genital herpes infection. She had a sexual health screening and was given oral acyclovir for 5 days. She was booked for elective caesarean section at 39 weeks' gestation. However, she presents at 38 weeks in second stage and delivered vaginally within half an hour of admission to labour ward. The newborn baby develops neonatal herpes Infection. What was the most likely mode of viral transmission to the fetus?	A. Blood borne | B. Direct contact with genital secretions | C. Transplacental | D. Postnatal transmission | E. Contact with maternal urine	B
As part of the infectious diseases in pregnancy screening programme, all pregnant women are routinely offered screening for the following infections at their booking antenatal visit except which one?	A. Syphilis | B. Hepatitis C | C. HIV | D. Hepatitis B | E. Rubella	E
A 36-year-old HIV-positive woman on highly active anti-retroviral therapy (HAART) comes to see you after a positive pregnancy test. Which one of the following statements is not true with regard to her management?	A. Advise her to continue to take HAART throughout the pregnancy and postpartum. | B. Vaginal delivery is not recommended for women on HAART. | C. Screening for genital infections at booking and at 28 weeks' gestation. | D. Screening for Hepatitis C should be performed at booking. | E. Avoidance of breastfeeding reduces the risk of mother to child transmission.	B
A 29-year-old woman presents to the emergency department by ambulance with a history of a severe headache for 3 days and focal seizures. Two months prior to this, she presented to her GP with menorrhagia of 10 months' duration. She was offered LNG-IUS but she declined. She was prescribed tranexamic acid to be taken during her periods. Her medications box reveals that she has taken tranexamic acid for the whole previous month. There is no history of any viral illness recently.   What is the likely diagnosis in her case?	A. Subarachnoid haemorrhage | B. Intracerebral haemorrhage | C. Cerebral sinus thrombosis | D. Drug-induced psychosis | E. Intracranial tumour	C
A 39-year-old African Caribbean woman presents to her GP with menorrhagia of 10 months' duration. She does not give any history of intermenstrual or postcoital bleeding. All her previous smears have been normal. Vaginal examination reveals an essentially normal pelvis. She suffers from Crohn's disease and is taking oral sulphasalazine. She is fed up and is asking for a hysterectomy. What is her first line of management for menorrhagia?	A. Hysterectomy | B. Subtotal hysterectomy | C. Levonorgestrel-releasing intrauterine system (LNG-IUS) | D. Injectable long-acting progestogens | E. Progesterone-only pill (POP)	C
A 22-year-old Caucasian para 0 woman attends maternal medicine clinic at 13 weeks' gestation following her normal dating scan. Her booking bloods are normal. She gives a history of deep venous thrombosis following a pelvic fracture after a trip over the stairs 2 years ago. Her recent thrombophilia screen is negative. Choose the most appropriate management option for this woman with regards to thrombopropylaxis.	A. TEDS only during pregnancy | B. TEDs and low molecular weight heparin (LMWH) during antenatal period | C. Aspirin during antenatal period | D. Aspirin and TED stockings during antenatal period | E. 6 weeks of postpartum LMWH	B
Which one of the following statements is true with respect to perineal tears?	A. Fourth-degree tear involves injury to the anal sphincter complex, but not anal mucosa. | B. Third-degree tear involves injury to the perineal muscle complex | C. Intact perineal skin excludes the possibility of damage to the anal sphincter complex. | D. First-degree tear involves the skin and superficial perineal muscles. | E. The degree of trauma in a right mediolateral episiotomy is equivalent to a second-degree tear.	E
With regard to treatment of CIN, which one of the following statements is false?	A. Treatment of CIN 2 and 3 can be treated at first colposcopic assessment. | B. The standard treatment for CIN 2 and 3 is excisional treatment of the cervix. | C. When CIN 2 and 3 are treated at first colposcopic assessment, it should be by excisional treatment to provide specimen for histological examination. | D. CIN 1 can be treated with ablative techniques. | E. CIN 2 and 3 can be treated with cervical biopsy only.	B
A 29-year-old woman comes to see her GP for advice as her mother, aunt and grandmother have all had ovarian cancers. Which of the following would reduce her risk of developing ovarian cancer?	A. Prophylactic bilateral salpingo oophorectomy once family complete | B. Having knowledge about BRCA1 familial cancer | C. Monthly colour doppler ultrasound examination | D. Use of clomiphene citrate | E. Monthly measurement of Ca-125	A
A 29-year-old woman presents to her GP with small lumps on her vulva.   Examination reveals warty lesions. Subsequently she is referred to the vulval clinic. The biopsy of the lesions reveals benign genital warts. The following drugs can be used in the treatment of her condition except which one of the following?	A. Trichloracetic acid | B. Podophyllin | C. Podophyllotoxin | D. Dactinomycin | E. Imiquimod	D
Which one of the following drugs has no teratogenic effect?	A. Metronidazole | B. Sodium valproate | C. Warfarin, | D. ACE inhibitors | E. Lithium	A
With regard to the management of pregnant women with obesity (BMI 30), which one of the following statements is false?	A. Glucose tolerance test should be offered during pregnancy. | B. Folic acid 5 mg daily supplementation prior to and during pregnancy to minimize the risk of neural tube defects. | C. Induction of labour at 39 weeks is recommended. | D. They should have continuous electronic monitoring of the fetal heart during labour. | E. Active management of the third stage is recommended to minimize the risk of postpartum haemorrhage	C
